"","Date","AwayTeam","AQ1","AQ2","AQ3","AQ4","AF","HomeTeam","HQ1","HQ2","HQ3","HQ4","HF","Diff","Year","Post_Season"
"529",111,"Charlotte",16,23,19,20,78,"Toronto",29,24,23,23,99,21,2013,0
"530",111,"Phoenix",25,28,13,13,79,"Brooklyn",21,25,28,25,99,20,2013,0
"531",111,"Houston",21,24,21,25,91,"Boston",24,29,25,25,103,12,2013,0
"532",111,"Utah",25,22,29,19,95,"Atlanta",22,21,25,35,103,8,2013,0
"533",111,"SanAntonio",25,18,28,24,98,"Memphis",22,29,17,27,101,3,2013,0
"534",111,"Minnesota",29,17,15,31,92,"NewOrleans",14,26,30,34,104,12,2013,0
"535",111,"Chicago",29,28,25,26,108,"NewYork",18,18,24,41,101,-7,2013,0
"536",111,"Detroit",25,16,33,29,103,"Milwaukee",20,29,11,27,87,-16,2013,0
"537",111,"Cleveland",30,26,18,17,91,"Denver",23,22,25,28,98,7,2013,0
"538",111,"Portland",19,16,28,34,97,"GoldenState",28,22,28,25,103,6,2013,0
"539",111,"OklahomaCity",25,39,29,23,116,"LALakers",25,23,25,28,101,-15,2013,0
"540",112,"Orlando",26,23,26,29,104,"LAClippers",31,26,26,18,101,-3,2013,0
"541",112,"Charlotte",24,21,20,23,88,"Indiana",23,20,26,27,96,8,2013,0
"542",112,"Atlanta",17,33,16,17,83,"Washington",27,24,22,20,93,10,2013,0
"543",112,"Utah",13,26,25,26,90,"Detroit",26,24,11,26,87,-3,2013,0
"544",112,"Houston",25,25,26,24,100,"Philadelphia",29,29,27,22,107,7,2013,0
"545",112,"Phoenix",20,29,28,20,97,"Chicago",21,21,21,18,81,-16,2013,0
"546",112,"Memphis",18,21,23,21,83,"Dallas",25,29,34,16,104,21,2013,0
"547",112,"Miami",28,38,37,25,128,"Sacramento",17,27,28,27,99,-29,2013,0
"548",113,"NewOrleans",29,12,25,21,87,"NewYork",22,27,22,29,100,13,2013,0
"549",113,"Milwaukee",16,31,27,33,107,"Toronto",34,15,29,18,96,-11,2013,0
"550",113,"Indiana",21,28,26,11,86,"Brooklyn",27,19,23,28,97,11,2013,0
"551",113,"Minnesota",21,29,21,17,88,"SanAntonio",24,31,23,28,106,18,2013,0
"552",113,"GoldenState",25,29,33,18,105,"Denver",27,25,27,37,116,11,2013,0
"553",113,"OklahomaCity",22,20,26,9,77,"Portland",19,24,16,13,72,-5,2013,0
"554",113,"Cleveland",20,25,24,24,93,"LALakers",37,20,29,27,113,20,2013,0
"555",114,"Orlando",22,31,24,14,91,"Washington",28,31,37,24,120,29,2013,0
"556",114,"Charlotte",18,27,25,19,89,"Boston",28,28,20,24,100,11,2013,0
"557",114,"Atlanta",15,5,17,21,58,"Chicago",26,22,23,26,97,39,2013,0
"558",114,"LAClippers",25,28,20,26,99,"Memphis",19,15,18,21,73,-26,2013,0
"559",114,"Minnesota",19,26,25,28,98,"Dallas",26,29,36,22,113,15,2013,0
"560",114,"Miami",25,19,21,32,97,"Utah",30,29,25,20,104,7,2013,0
"561",114,"OklahomaCity",21,30,21,30,102,"Phoenix",24,21,23,22,90,-12,2013,0
"562",114,"Cleveland",24,33,30,31,118,"Sacramento",31,38,24,31,124,6,2013,0
"563",115,"Indiana",27,23,33,20,103,"Charlotte",20,20,17,19,76,-27,2013,0
"564",115,"NewOrleans",35,18,33,25,111,"Philadelphia",28,19,21,31,99,-12,2013,0
"565",115,"Toronto",27,23,26,30,106,"Brooklyn",27,27,29,30,113,7,2013,0
"566",115,"LAClippers",28,30,32,27,117,"Houston",29,30,18,32,109,-8,2013,0
"567",115,"Portland",35,22,19,23,111,"Denver",33,21,27,18,115,4,2013,0
"568",115,"Milwaukee",27,23,23,15,88,"LALakers",29,28,22,25,104,16,2013,0
"569",116,"Indiana",17,18,29,22,86,"Orlando",22,29,26,20,97,11,2013,0
"570",116,"Chicago",29,23,27,21,107,"Toronto",22,22,29,27,105,-2,2013,0
"571",116,"Brooklyn",20,20,29,26,95,"Atlanta",27,29,32,21,109,14,2013,0
"572",116,"NewOrleans",20,24,24,22,90,"Boston",25,18,20,15,78,-12,2013,0
"573",116,"Denver",18,29,23,27,97,"OklahomaCity",34,33,28,22,117,20,2013,0
"574",116,"Houston",18,26,29,27,100,"Dallas",29,23,28,25,105,5,2013,0
"575",116,"Memphis",25,29,15,13,82,"SanAntonio",19,38,25,21,103,21,2013,0
"576",116,"Cleveland",26,27,21,19,93,"Portland",21,15,29,23,88,-5,2013,0
"577",116,"Washington",31,25,21,17,94,"Sacramento",32,16,24,23,95,1,2013,0
"578",116,"Miami",28,24,28,12,92,"GoldenState",21,17,12,25,75,-17,2013,0
"579",117,"NewYork",29,27,19,27,102,"Detroit",17,24,22,24,87,-15,2013,0
"580",117,"LAClippers",27,20,21,22,90,"Minnesota",22,21,20,14,77,-13,2013,0
"581",117,"Milwaukee",32,21,17,28,98,"Phoenix",22,34,19,19,94,-4,2013,0
"582",117,"Miami",26,18,29,26,99,"LALakers",22,23,20,25,90,-9,2013,0
